,name,age,position1,position2,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
0,Denis Popov FC Rostov,19, Goalkeeper,,1,90,-,-,-,-,1.0,-,-,-,8.04
1,Fernando Spartak Moscow,29, M(C),,3,270,2,3,1.3,-,1.3,0.7,-,-,7.85
2,Artem Dzyuba Zenit,33, FW,,25(3),2316,0.4,0.1,1,-,0.6,0.1,0.1,-,7.63
3,Nikola Vlasic CSKA Moscow,24, AM(CLR),FW,30,2651,1,0.3,1.1,-,0.4,1,-,-,7.5
4,Cedric Gogoua FC Tambov,27, D(C),,5,450,1.2,1.6,1,0.2,5.6,0.8,1,-,7.43
5,Aleksandr Kokorin PFC Sochi,30, AM(CLR),FW,10,879,1,0.1,1.1,-,0.6,0.5,0.2,-,7.37
6,Magomed Ozdoev Zenit,29, M(C),,26,2183,2.5,1.6,1.9,-,1.5,0.7,0.4,-,7.36
7,Sardar Azmoun Zenit,26, FW,,24(4),2102,0.6,0.3,1.2,-,0.8,0.5,-,-,7.34
8,Malcom Zenit,24, AM(CLR),,9(3),829,0.5,0.1,0.3,-,0.2,0.4,-,-,7.33
9,Aleksey Miranchuk Lokomotiv Moscow,26, M(CR),FW,25(2),2273,1.2,0.6,0.8,-,0.2,0.8,-,-,7.31
10,Nikita Koldunov PFC Sochi,21, Midfielder,,0(2),49,1,0.5,1.0,-,-,0.5,-,-,7.28
11,Samuel Gigot Spartak Moscow,28, D(C),,26,2332,2,1.7,1.3,0.5,3.7,0.3,1,-,7.27
12,Douglas Santos Zenit,27, D(CL),DMC,27(1),2452,1.9,1.5,0.7,0.1,1.4,1.2,0.1,1,7.27
13,Christian Noboa PFC Sochi,36, M(C),,18(1),1606,2.4,2.1,1.2,-,1.2,1.3,0.3,-,7.26
14,Kantemir Berkhamov Arsenal Tula,33, DMC,,1,64,-,1.0,1.0,-,2,2.0,-,-,7.25
15,Sly FC Ufa,31, AM(CL),FW,6,483,0.3,0.5,2.2,-,1,0.3,0.2,-,7.23
16,Ilya Gaponov Spartak Moscow,24, D(C),,4,360,2.8,1.3,0.5,0.8,3.3,1.5,0.8,-,7.22
17,Wanderson Maciel FC Krasnodar,27, AM(LR),,20(1),1817,1,0.2,0.8,-,-,0.4,-,-,7.22
18,Ivan Oblyakov CSKA Moscow,23, D(L),M(CL),28,2461,1.6,1.2,1.6,-,0.7,1.1,0.3,-,7.17
19,Grzegorz Krychowiak Lokomotiv Moscow,31, D(C),M(C),26,2274,1.2,1.2,1.5,-,0.9,0.4,0.4,-,7.16
20,Maksim Osipenko FC Rostov,27, D(C),,9,810,1.0,1.4,0.3,0.6,5.4,0.1,0.6,1,7.16
21,Filip Uremovic Rubin Kazan,24, D(CR),,25,2250,2.6,2.6,1.3,0.7,3.7,0.3,0.2,-,7.16
22,Zelimkhan Bakaev Spartak Moscow,25, AM(CLR),,26(1),2183,0.9,0.4,1.7,0.1,0.3,0.9,0.1,-,7.15
23,Dmitriy Chistyakov FC Rostov,27, D(C),,22,1757,1.2,2.1,1.0,0.3,4.7,0.2,1,-,7.14
24,Mario Fernandes CSKA Moscow,31, D(R),M(R),29,2604,1.8,1.1,1.0,0.1,1.2,0.6,0.3,-,7.13
25,Alexey Nikitin FC Ufa,29, D(CR),,8,708,0.6,2.1,0.9,0.6,5.4,0.3,1.1,-,7.13
26,Kaio FC Krasnodar,26, D(C),DMC,10(1),907,2.1,3.1,1.5,0.6,2.5,0.2,0.7,-,7.13
27,Jimmy Tabidze FC Ufa,25, D(C),,25,2227,2.8,1.8,0.9,0.2,4.5,0.5,0.5,1,7.12
28,Eldor Shomurodov FC Rostov,26, FW,,28,2365,0.8,0.1,1.8,-,1.0,0.6,-,-,7.11
29,Djorde Despotovic FC Orenburg,29, FW,,20,1755,0.7,0.3,1.5,0.1,1.0,0.3,0.1,-,7.11
30,Anton Kochenkov Lokomotiv Moscow,34, GK,,6(1),597,0.1,-,-,-,1.3,-,-,-,7.11
31,Uros Radakovic FC Orenburg,27, D(C),,15,1350,1.3,2.1,1.2,0.6,7.3,0.1,1,1,7.11
32,Vitali Lystsov Krylya Sovetov Samara,26, D(C),,7(1),604,2,1.6,1,0.3,3.6,0.6,0.8,-,7.11
33,Yaroslav Rakitskiy Zenit,32, D(C),,27,2420,0.8,1.6,1.1,0.4,3.1,0.3,0.7,-,7.11
34,Vladimir Obukhov FC Tambov,29, FW,,17,1455,0.4,0.2,1,-,0.8,0.2,-,-,7.11
35,Yuri Dyupin Rubin Kazan,33, GK,,30,2700,-,-,-,-,1.3,-,-,-,7.1
36,Nikita Chernov Krylya Sovetov Samara,25, D(C),,23,2070,1.5,2.6,1.2,0.5,6.4,0.5,1,-,7.1
37,Alexander Sobolev Krylya Sovetov Samara,24, FW,,18,1583,0.4,0.1,1.6,-,0.8,-,0.2,-,7.09
38,Wilmar Barrios Zenit,28, DMC,,25(1),2225,2.5,1.5,1,0.1,1.0,0.7,0.4,-,7.09
39,Soslan Dzhanaev PFC Sochi,34, GK,,22,1980,-,-,-,-,0.5,-,-,-,7.08
40,Egor Sorokin Rubin Kazan,26, D(C),,13(1),1242,1.4,2.6,0.7,0.5,3.6,0.7,1,-,7.08
41,Kirill Zaika PFC Sochi,29, M(LR),,10,875,0.9,1.3,1.6,0.1,1.0,0.5,-,-,7.08
42,João Mário Lokomotiv Moscow,28, M(CLR),,16(2),1477,0.7,0.5,0.8,-,0.3,0.2,-,-,7.08
43,Ayrton Spartak Moscow,24, D(L),M(L),27,2306,2.3,1.3,1.4,0.2,1.9,0.7,0.2,-,7.08
44,Pablo Santos Rubin Kazan,29, D(C),,9,783,1.2,1.6,0.6,0.8,6.1,0.1,0.6,1,7.07
45,Aleksandr Melikhov FK Akhmat,23, GK,,1,90,-,-,-,-,1.0,-,-,-,7.06
46,Aleksandr Putsko FC Ufa,28, D(C),,19(1),1686,0.8,1.4,0.9,0.4,7.1,0.5,1.4,-,7.04
47,Hördur Magnússon CSKA Moscow,28, D(CL),,26(1),2385,1.5,1.7,1.1,0.4,3.1,0.6,0.6,-,7.04
48,George Melkadze FC Tambov,24, AM(CL),FW,18,1521,1.4,1.3,2.2,-,0.4,0.4,0.2,-,7.04
49,Denis Adamov FC Krasnodar,23, Goalkeeper,,1(1),161,-,-,-,-,0.5,-,-,-,7.04
50,Toni Sunjic Dinamo Moscow,32, D(C),,17(2),1522,2.2,1.9,0.9,0.2,5.2,0.7,0.6,-,7.03
51,Aleksandr Martynovich FC Krasnodar,34, D(CR),,21(1),1894,1.3,2.3,0.8,0.5,3.7,0.6,0.8,-,7.03
52,Evgeni Frolov PFC Sochi,33, GK,,1,90,-,-,-,-,4.0,-,-,-,7.03
53,Roman Zobnin Spartak Moscow,27, M(CLR),,24(1),2157,1.6,1.2,1.4,0.1,1.4,0.7,0.2,-,7.03
54,Vladislav Ignatjev Lokomotiv Moscow,34, D(LR),M(CLR),23,1986,2.8,1.6,1.6,0.5,2.4,1,0.3,-,7.02
55,Daniil Fomin FC Ufa,24, DMC,,27,2430,1.4,1.4,0.9,-,1.6,0.4,0.4,-,7.01
56,Branislav Ivanovic Zenit,37, D(CR),,25,2221,0.7,0.8,0.4,0.4,3.3,0.1,0.5,-,7.01
57,Ivelin Popov FC Rostov,34, M(CLR),FW,23(2),1949,1,0.8,1.5,-,1.4,0.8,0.2,-,7.0
58,Odise Roshi FK Akhmat,30, M(CR),,19(7),1755,1.6,0.4,1.8,-,0.8,0.5,-,-,7.0
59,Sebastián Driussi Zenit,25, AM(CLR),FW,20(5),1678,1.1,0.4,1.2,-,0.3,1.2,0.1,-,6.99
60,Ivan Ordets Dinamo Moscow,29, D(C),,16(1),1442,0.9,2.5,1.0,0.2,4.0,0.2,0.6,-,6.99
61,Artem Timofeev Krylya Sovetov Samara,27, M(C),,18(3),1593,3.1,2.5,1.0,-,2.0,1.6,0.4,-,6.99
62,Anton Zabolotny PFC Sochi,30, FW,,16(5),1354,0.4,0.1,1.3,-,0.4,0.2,-,-,6.98
63,Andrey Mostovoy PFC Sochi,24, AM(CLR),,24(1),2079,0.7,0.3,0.9,-,0.4,0.7,0.1,-,6.97
64,Vladimir Rykov Dinamo Moscow,34, D(C),,18(1),1608,1.8,1.9,0.7,0.2,3.6,0.5,0.9,-,6.97
65,Igor Bezdenezhnykh FC Ufa,25, DMC,,2,180,2.5,2,0.5,-,3.5,0.5,-,-,6.97
66,Roman Eremenko FC Rostov,34, M(CLR),,16(3),1531,0.8,0.3,1.4,-,0.8,1.1,0.1,-,6.97
67,Georgy Schennikov CSKA Moscow,30, D(L),M(L),9,765,1.7,0.8,1.6,0.1,1.4,0.7,0.3,-,6.96
68,Othman El Kabir Ural,30, AM(L),,20(2),1638,0.8,0.8,0.9,-,0.4,0.3,-,-,6.96
69,Andrey Lunev Zenit,30, GK,,19,1706,-,-,0.1,-,1.1,0.1,-,-,6.95
70,Baktiyor Zainutdinov FC Rostov,23, D(L),M(CLR),10(7),1042,1.4,0.6,1.5,-,0.5,0.3,0.1,-,6.95
71,Maksim Osipenko FC Tambov,27, D(C),,17,1520,1.9,1.8,0.4,0.2,5.6,0.8,1.1,-,6.95
72,Mikhail Kerzhakov Zenit,34, GK,,9(1),814,-,-,-,-,0.5,-,-,-,6.95
73,Oleg Shatov Zenit,31, M(CLR),,5(7),585,1,0.5,0.5,-,0.1,0.3,0.3,1,6.94
74,Ilya Samoshnikov Rubin Kazan,24, D(LR),,5(1),472,3.5,1.7,1.2,0.3,2.2,1.3,-,-,6.94
75,Fedor Smolov Lokomotiv Moscow,31, AM(CL),FW,10(4),924,0.6,0.1,0.9,-,0.6,0.2,0.1,-,6.94
76,Maximilian Philipp Dinamo Moscow,27, AM(CLR),FW,15(5),1256,0.8,0.5,0.8,-,0.3,0.6,-,-,6.94
77,Mathias Normann FC Rostov,25, M(C),,22(1),1995,1.6,1.2,1.8,-,1.1,0.8,0.4,-,6.93
78,Aleksey Ionov FC Rostov,32, AM(CLR),FW,25,2124,0.7,0.4,0.4,-,0.3,0.8,-,-,6.92
79,Evgeni Lutsenko Arsenal Tula,34, FW,,25(3),2184,0.3,0.1,1.5,-,0.6,0.1,0.1,-,6.91
80,Igor Diveev CSKA Moscow,22, D(C),,26,2296,1.1,1.3,1.1,0.5,4.5,0.7,0.7,-,6.91
81,Sergei Ryzhikov Krylya Sovetov Samara,41, GK,,19,1710,0.1,-,-,-,0.3,0.1,-,1,6.91
82,Uros Spajic FC Krasnodar,28, D(C),,15,1350,0.9,2.3,1.7,0.5,2.6,0.3,0.7,-,6.91
83,Denis Popovic Krylya Sovetov Samara,32, M(CR),,8(2),715,0.2,0.4,0.2,-,0.7,0.2,-,-,6.91
