,Rating,name,age,position1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch
0,8.04,Denis Popov FC Rostov,19, Goalkeeper,1,90,-,-,-,-,-,-,-,-,1.0
1,7.85,Fernando Spartak Moscow,29, M(C),3,270,-,2,3,3.3,1.7,1.7,-,0.3,1.3
2,7.63,Artem Dzyuba Zenit,33, FW,25(3),2316,17,12,2.9,2.1,0.6,1.8,1.1,2,2.0
3,7.5,Nikola Vlasic CSKA Moscow,24, AM(CLR),30,2651,12,5,3.4,2.9,2.4,1.3,0.3,2.1,2.3
4,7.43,Cedric Gogoua FC Tambov,27, D(C),5,450,2,-,1.2,0.6,0.6,0.6,-,0.4,0.4
5,7.37,Aleksandr Kokorin PFC Sochi,30, AM(CLR),10,879,7,1,3.1,1.2,1.2,1.5,0.6,1.1,2.6
6,7.36,Magomed Ozdoev Zenit,29, M(C),26,2183,3,4,1.4,1.6,0.3,1,-,0.4,0.6
7,7.34,Sardar Azmoun Zenit,26, FW,24(4),2102,17,7,3.2,1.1,0.8,0.6,0.5,1,2.1
8,7.33,Malcom Zenit,24, AM(CLR),9(3),829,4,1,2.3,2.3,2.2,1.1,0.1,1.3,1.2
9,7.31,Aleksey Miranchuk Lokomotiv Moscow,26, M(CR),25(2),2273,12,3,2.9,2.6,1.8,2.1,0.2,1.9,2.9
10,7.28,Nikita Koldunov PFC Sochi,21, Midfielder,0(2),49,1,1,2.0,0.5,-,0.5,-,-,-
11,7.27,Samuel Gigot Spartak Moscow,28, D(C),26,2332,4,2,1.3,0.5,0.5,0.7,0.2,0.2,0.3
12,7.27,Douglas Santos Zenit,27, D(CL),27(1),2452,-,3,0.8,1.9,0.8,0.7,-,0.5,0.8
13,7.26,Christian Noboa PFC Sochi,36, M(C),18(1),1606,4,3,2.4,1.5,0.7,1.1,0.1,1.2,0.9
14,7.25,Kantemir Berkhamov Arsenal Tula,33, DMC,1,64,1,-,1.0,-,-,2.0,-,-,-
15,7.23,Sly FC Ufa,31, AM(CL),6,483,2,-,3.2,0.7,1.7,2.3,0.3,1.8,1.8
16,7.22,Ilya Gaponov Spartak Moscow,24, D(C),4,360,-,-,0.8,0.3,-,0.3,-,0.3,0.5
17,7.22,Wanderson Maciel FC Krasnodar,27, AM(LR),20(1),1817,3,2,2.8,2,2.7,0.9,0.3,1.9,2.5
18,7.17,Ivan Oblyakov CSKA Moscow,23, D(L),28,2461,4,5,2.1,2,1,1.3,0.1,1.2,1.6
19,7.16,Grzegorz Krychowiak Lokomotiv Moscow,31, D(C),26,2274,9,2,2.9,0.6,0.7,2.7,-,1.1,1.5
20,7.16,Maksim Osipenko FC Rostov,27, D(C),9,810,-,-,0.9,0.4,0.8,1.0,-,-,-
21,7.16,Filip Uremovic Rubin Kazan,24, D(CR),25,2250,-,1,0.7,0.3,0.3,1.3,-,0.3,0.6
22,7.15,Zelimkhan Bakaev Spartak Moscow,25, AM(CLR),26(1),2183,6,9,2.1,2.7,2.3,1.4,0.1,2.7,2.1
23,7.14,Dmitriy Chistyakov FC Rostov,27, D(C),22,1757,1,-,0.5,-,-,0.7,-,-,0.2
24,7.13,Mario Fernandes CSKA Moscow,31, D(R),29,2604,3,3,0.7,1.8,0.9,0.8,0.3,1,0.9
25,7.13,Alexey Nikitin FC Ufa,29, D(CR),8,708,-,1,0.6,0.4,0.1,0.5,-,0.3,0.3
26,7.13,Kaio FC Krasnodar,26, D(C),10(1),907,-,-,0.9,0.1,0.5,1.9,-,0.7,0.9
27,7.12,Jimmy Tabidze FC Ufa,25, D(C),25,2227,1,1,0.4,0.3,0.5,0.7,-,0.3,0.4
28,7.11,Eldor Shomurodov FC Rostov,26, FW,28,2365,11,6,2.9,1.4,0.6,1.1,0.5,1.8,3.4
29,7.11,Djorde Despotovic FC Orenburg,29, FW,20,1755,8,-,3.7,0.7,0.5,1.2,0.7,1.4,1.9
30,7.11,Anton Kochenkov Lokomotiv Moscow,34, GK,6(1),597,-,-,-,-,-,0.1,-,-,-
31,7.11,Uros Radakovic FC Orenburg,27, D(C),15,1350,1,1,0.8,0.2,-,0.5,-,-,0.1
32,7.11,Vitali Lystsov Krylya Sovetov Samara,26, D(C),7(1),604,1,-,0.9,0.5,0.9,1.4,-,0.5,0.5
33,7.11,Yaroslav Rakitskiy Zenit,32, D(C),27,2420,-,-,0.7,0.5,0.4,1.3,-,0.1,0.3
34,7.11,Vladimir Obukhov FC Tambov,29, FW,17,1455,7,2,2.8,1.2,0.8,1.4,0.2,1.7,1.7
35,7.1,Yuri Dyupin Rubin Kazan,33, GK,30,2700,-,-,-,-,-,0.2,-,-,0.1
36,7.1,Nikita Chernov Krylya Sovetov Samara,25, D(C),23,2070,1,1,0.5,0.2,0.1,0.8,-,0.1,-
37,7.09,Alexander Sobolev Krylya Sovetov Samara,24, FW,18,1583,10,3,2.4,1.6,0.7,3.1,0.3,2.1,4.8
38,7.09,Wilmar Barrios Zenit,28, DMC,25(1),2225,1,-,0.3,0.3,0.8,2.2,-,0.6,0.7
39,7.08,Soslan Dzhanaev PFC Sochi,34, GK,22,1980,-,-,-,-,-,0.2,-,-,-
40,7.08,Egor Sorokin Rubin Kazan,26, D(C),13(1),1242,-,-,0.4,0.3,0.2,0.6,-,0.1,0.4
41,7.08,Kirill Zaika PFC Sochi,29, M(LR),10,875,1,3,0.5,1,0.8,1.7,-,0.4,1.5
42,7.08,João Mário Lokomotiv Moscow,28, M(CLR),16(2),1477,1,4,1.9,2.5,1.5,1.9,0.1,2.3,2.1
43,7.08,Ayrton Spartak Moscow,24, D(L),27,2306,-,2,1.1,1,2.2,1.4,-,0.9,1.3
44,7.07,Pablo Santos Rubin Kazan,29, D(C),9,783,-,-,0.7,0.2,0.1,0.3,-,0.3,0.1
45,7.06,Aleksandr Melikhov FK Akhmat,23, GK,1,90,-,-,-,-,-,-,-,-,-
46,7.04,Aleksandr Putsko FC Ufa,28, D(C),19(1),1686,-,1,0.2,0.1,0.1,0.3,-,0.2,0.2
47,7.04,Hördur Magnússon CSKA Moscow,28, D(CL),26(1),2385,2,-,1,0.5,0.3,0.7,-,0.3,0.7
48,7.04,George Melkadze FC Tambov,24, AM(CL),18,1521,7,2,2.6,1.4,1.3,2.2,0.3,2.6,2.6
49,7.04,Denis Adamov FC Krasnodar,23, Goalkeeper,1(1),161,-,-,-,-,-,-,-,-,-
50,7.03,Toni Sunjic Dinamo Moscow,32, D(C),17(2),1522,-,1,0.3,0.3,0.3,0.2,0.1,0.3,0.5
51,7.03,Aleksandr Martynovich FC Krasnodar,34, D(CR),21(1),1894,1,-,0.4,0.2,0.1,0.8,-,0.1,0.2
52,7.03,Evgeni Frolov PFC Sochi,33, GK,1,90,-,-,-,1.0,-,-,-,-,-
53,7.03,Roman Zobnin Spartak Moscow,27, M(CLR),24(1),2157,2,1,1.4,2.0,1.1,1.7,-,1.3,1.8
54,7.02,Vladislav Ignatjev Lokomotiv Moscow,34, D(LR),23,1986,1,1,0.9,1.3,0.4,1.2,0.1,0.5,0.8
55,7.01,Daniil Fomin FC Ufa,24, DMC,27,2430,6,1,1.8,1.1,0.4,0.8,-,1.1,1.1
56,7.01,Branislav Ivanovic Zenit,37, D(CR),25,2221,4,-,1.1,0.3,0.1,0.6,-,0.1,0.2
57,7.0,Ivelin Popov FC Rostov,34, M(CLR),23(2),1949,5,2,2,1.6,1.2,1.2,0.1,0.9,0.9
58,7.0,Odise Roshi FK Akhmat,30, M(CR),19(7),1755,7,1,1.6,1.7,1.9,0.7,0.2,1.3,1.5
59,6.99,Sebastián Driussi Zenit,25, AM(CLR),20(5),1678,4,2,1.6,1.4,1.4,1,0.2,0.9,1
60,6.99,Ivan Ordets Dinamo Moscow,29, D(C),16(1),1442,1,-,0.6,0.1,0.1,0.8,-,0.1,0.4
61,6.99,Artem Timofeev Krylya Sovetov Samara,27, M(C),18(3),1593,-,1,0.5,0.6,0.3,1.0,-,0.4,0.9
62,6.98,Anton Zabolotny PFC Sochi,30, FW,16(5),1354,5,3,1.9,1,0.2,1.7,0.3,0.9,1.3
63,6.97,Andrey Mostovoy PFC Sochi,24, AM(CLR),24(1),2079,6,5,1.9,1.1,1.5,1.8,0.3,2,1.6
64,6.97,Vladimir Rykov Dinamo Moscow,34, D(C),18(1),1608,-,-,0.8,0.3,0.1,1.1,-,0.1,0.3
65,6.97,Igor Bezdenezhnykh FC Ufa,25, DMC,2,180,-,-,0.5,-,-,0.5,-,-,0.5
66,6.97,Roman Eremenko FC Rostov,34, M(CLR),16(3),1531,5,2,3.2,2.2,0.2,1.3,-,0.4,1.1
67,6.96,Georgy Schennikov CSKA Moscow,30, D(L),9,765,2,-,0.6,0.4,0.4,1.0,-,0.2,0.4
68,6.96,Othman El Kabir Ural,30, AM(L),20(2),1638,6,2,2.1,2,1.1,1.2,0.2,0.8,2.0
